"","Date","BookToMarketRatio","TreasuryBillRate","LongTermYield","NetEquityExpansion","Inflation","LongTermRateOfReturns","StockVariance","ExcessReturn","DividendPriceRatio","DividendYield","EarningsPriceRatio","DividendPayoutRatio","TermSpread","DefaultYieldSpread","DefaultReturnSpread"
"1",1927-01-01,0.443705645419091,0.0323,0.0351,0.0508336764139197,-0.0112994350282486,0.0075,0.000469894696,-0.00560166666666667,-2.9423744954803,-2.96334904716573,-2.37477328795034,-0.567601207529962,0.0028,0.0095,-0.0019
"2",1927-02-01,0.428500864410966,0.0329,0.0347,0.0516818672980215,-0.00571428571428578,0.0088,0.000287334346,0.0427803333333333,-2.97953468585769,-2.9329458542024,-2.43035278090182,-0.54918190495587,0.0018,0.0092,-0.0019
"3",1927-03-01,0.469765117441279,0.032,0.0331,0.0463702548357958,-0.00574712643678144,0.0253,0.000924192753,0.00465733333333333,-2.97653509673849,-2.9700532591363,-2.44507868827909,-0.531456408459399,0.0011,0.0092,-0.017
"4",1927-04-01,0.456754130223518,0.0339,0.0333,0.0505183957587029,0,-5e-04,0.000602588571,0.010196,-2.98422498968485,-2.96714272377398,-2.47130862712675,-0.5129163625581,-0.000599999999999996,0.009,0.006
"5",1927-05-01,0.434782608695652,0.0333,0.0327,0.0552794450891713,0.00578034682080908,0.0109,0.000391733756,0.059578,-3.02596333390355,-2.97505825882949,-2.53144582820111,-0.494517505702436,-0.000600000000000003,0.0093,-0.012
"6",1927-06-01,0.452385249353306,0.0307,0.0334,0.0588262567982729,0.0114942528735633,-0.0069,0.000824576951,-0.0229283333333333,-3.00730884138299,-3.01674287361635,-2.53132994894717,-0.475978892435823,0.0027,0.0097,0.0112
"7",1927-07-01,0.414553472987872,0.0296,0.0333,0.0597543281410092,-0.0170454545454546,0.005,0.000425779763,0.0819833333333333,-3.06114424236356,-2.99817262183666,-2.60370736776094,-0.457436874602615,0.0037,0.0095,-0.0047
"8",1927-08-01,0.396227409241794,0.027,0.0329,0.0545255170569976,-0.0057803468208093,0.0076,0.001276413852,0.03107,-3.09576447930007,-3.05222526432108,-2.65674169076225,-0.439022788537811,0.0059,0.00920000000000001,7e-04
"9",1927-09-01,0.380586062047674,0.0268,0.033,0.0946167110125324,0.0058139534883721,0.0018,0.001123349479,0.0507826666666667,-3.12909698562141,-3.08679100450096,-2.70775852835696,-0.421338457264455,0.0062,0.0088,0.0131
"10",1927-10-01,0.413800693336268,0.0308,0.0325,0.0943704756296029,0.00578034682080908,0.0099,0.001559337454,-0.0493706666666667,-3.06564978680816,-3.12020331845129,-2.66287540174551,-0.402774385062652,0.0017,0.0087,-0.0044
